Gender,Loan_Requirement (in 1000$),Loan_Tenure,Home_Ownership,Income (in 1000$),Employment_Tenure,Credit_score,Age,Credit_Utlization,Active_Credit_balance (in 1000$),Open_CreditAcc,Income_to_debt_ratio,Pre-Approved,LoanStatus
Female,30,5,1,2000,1,255,53,13,31,6,19,0,False
Female,51,18,0,17,1,345,73,75,53,5,22,0,False
Female,89,16,1,3000,0,305,64,55,41,5,17,0,False
Male,10,11,1,24,37,675,53,29,10,2,57,1,True
Male,80,22,0,2000,0,350,72,39,24,6,26,0,False
Male,12,6,1,87,31,915,49,11,6,1,82,1,True
Female,56,17,0,79,34,925,71,59,11,2,64,1,True
Female,60,20,0,2000,0,240,74,55,35,6,38,0,False
Female,51,18,1,3000,1,125,71,48,25,6,33,0,False
Female,71,18,1,4000,1,245,42,15,39,7,30,0,False
Female,15,14,0,19,32,985,53,15,15,3,89,1,True
Female,43,24,0,2,1,450,66,63,52,7,26,0,False
Female,78,16,1,3000,0,300,61,33,28,7,21,0,False
Male,13,7,1,84,15,960,46,4,6,1,89,1,True
Male,58,12,1,20,32,830,43,10,6,0,60,1,True
Female,57,8,1,10,35,890,30,6,6,3,87,1,True
Male,33,6,1,18,36,895,39,16,17,3,78,1,True
Female,54,24,0,4000,1,445,74,34,41,5,37,0,False
Female,71,15,0,24000,0,130,64,57,21,6,43,0,False
Female,95,23,1,2000,0,435,63,59,24,7,35,0,False
Female,63,23,1,22000,0,315,70,37,29,5,31,0,False
Male,21,7,1,77,24,940,20,18,6,0,90,1,True
Female,90,20,0,3000,1,490,66,32,24,5,25,0,False
Female,45,13,0,12,17,930,41,22,6,3,55,1,True
Male,27,11,0,12,24,960,22,27,17,2,72,1,True
Female,12,12,1,4000,1,400,43,16,21,7,28,0,False
Female,96,21,1,2000,1,470,71,45,36,6,16,0,False
Male,68,15,0,4000,0,150,60,58,45,5,13,0,False
Male,14,5,0,7,19,807,20,25,27,0,68,0,False
Female,73,15,0,20000,0,150,71,58,47,6,17,0,False
Male,30,9,1,21,15,755,30,17,10,3,57,1,True
Female,78,19,0,4000,0,475,69,54,45,6,35,0,False
Female,94,23,0,10000,1,455,63,44,47,5,30,0,False
Female,96,18,0,3000,0,420,70,36,21,6,46,0,False
Male,44,7,1,21,6,675,26,28,13,2,86,1,True
Male,42,14,0,20,27,700,29,7,18,0,79,1,True
Female,93,16,0,3000,1,175,73,56,44,7,49,0,False
Male,53,6,1,16,32,950,50,23,18,0,72,1,True
Male,20,7,0,88,29,690,72,54,15,3,88,1,True
Male,52,10,1,46,25,705,22,12,13,3,85,1,True
Male,68,20,0,2000,1,320,63,46,45,7,49,0,False
Male,56,7,1,47,10,795,24,17,17,2,72,1,True
Female,80,18,1,4000,0,180,73,49,30,7,27,0,False
Male,27,5,1,57,32,900,24,2,5,0,94,0,False
Male,43,12,1,21,33,695,31,20,15,2,52,1,True
Male,14,5,1,31,10,785,37,14,13,1,88,1,True
Male,52,12,1,7,15,955,26,16,15,1,70,1,True
Male,54,6,1,6,10,975,37,12,13,0,58,1,True
Female,85,23,1,4000,1,355,66,43,25,5,42,0,False
Male,19,14,1,41,27,905,29,29,14,1,74,1,True
Male,59,7,1,74,34,865,61,36,7,2,82,1,True
Male,55,16,1,79,18,660,72,31,18,3,75,1,True
Female,54,16,1,3000,1,290,64,30,44,5,45,0,False
Male,14,12,1,16,23,795,36,10,16,0,66,1,True
Female,59,18,0,2000,1,480,71,44,46,7,47,0,False
Female,61,21,1,65,13,930,67,33,5,2,85,1,True
Female,29,7,1,17,27,950,54,9,14,2,66,1,True
Female,53,21,0,11,4,465,70,71,37,5,15,0,False
Female,56,17,0,2000,1,450,68,56,38,7,15,0,False
Male,24,6,1,71,11,955,34,12,8,0,96,1,True
Male,98,22,0,4000,0,400,40,16,33,6,21,0,False
Female,68,19,0,4000,0,285,66,33,28,5,25,0,False
Male,16,7,1,64,10,995,20,3,9,0,91,1,True
Female,57,13,0,10,5,750,37,22,9,0,63,1,True
Female,37,16,0,8,1,425,67,71,30,7,25,0,False
Male,56,7,0,77,32,920,62,45,17,0,89,1,True
Female,72,21,0,2000,0,275,45,23,28,6,17,0,False
Female,82,21,0,15000,1,325,70,51,40,6,15,0,False
Female,82,22,0,3000,0,180,71,59,30,7,21,0,False
Male,27,11,0,13,29,980,46,22,7,3,88,1,True
Female,47,18,0,20,0,460,68,64,30,7,25,0,False
Male,14,6,1,31,29,720,32,8,19,1,52,1,True
Male,38,14,1,19,7,720,41,19,6,0,52,1,True
Male,91,24,0,2000,0,310,64,39,33,7,32,0,False
Female,93,21,1,18000,0,410,64,54,42,7,18,0,False
Male,49,7,1,16,10,860,26,19,12,2,54,1,True
Female,50,17,0,21,3,400,74,50,46,5,16,0,False
Female,65,18,0,4000,0,395,62,47,32,6,14,0,False
Female,51,6,0,4000,1,130,52,5,39,7,35,0,False
Male,53,14,0,22,31,940,50,11,10,0,70,1,True
Female,86,16,1,10000,0,220,67,47,22,5,25,0,False
Female,89,16,1,2000,1,280,74,51,41,5,22,0,False
Female,68,24,1,4000,1,170,62,56,42,5,38,0,False
Male,68,16,1,51,11,890,63,53,7,2,60,1,True
Male,50,5,1,4000,1,385,35,12,20,6,13,0,False
Male,48,14,1,49,7,725,23,10,5,0,79,1,True
Male,21,6,1,57,14,835,40,14,9,1,90,1,True
Female,95,16,1,4000,1,175,74,38,41,7,20,0,False
Female,16,5,0,4000,1,185,24,25,28,5,28,0,False
Male,13,8,1,88,27,810,24,1,5,1,90,1,True
Female,54,5,1,11,40,900,41,8,9,0,62,0,True
Male,12,6,1,64,38,975,41,11,6,0,83,1,True
Female,35,20,0,10,4,335,65,82,44,5,17,0,False
Female,54,17,0,6,0,410,69,72,33,6,18,0,False
Female,59,18,1,3000,1,385,60,43,27,5,30,0,False
Female,44,23,0,12,0,475,69,77,29,5,16,0,False
Female,22,15,0,83,31,864,22,10,9,6,83,0,True
Male,29,10,1,15,29,960,24,25,11,0,56,1,True
Female,50,24,0,3000,1,290,60,41,42,6,26,0,False
Female,47,19,0,16,0,490,72,84,38,7,25,0,False
Male,12,8,0,41,19,855,32,8,8,1,61,1,True
Female,69,24,1,3000,0,530,70,35,44,5,31,0,False
Female,53,23,0,14,4,320,66,71,44,7,28,0,False
Male,69,17,1,2000,1,385,54,25,20,5,45,0,False
Female,64,17,1,4000,0,470,40,9,48,6,18,0,False
Male,50,7,0,21,26,735,27,6,10,0,62,1,True
Male,26,7,0,7,10,990,43,7,6,2,78,1,True
Female,32,7,1,19,37,940,28,18,11,1,81,1,True
Male,77,17,1,2000,1,180,70,33,31,7,32,0,False
Female,46,17,0,21,3,495,69,54,33,5,10,0,False
Male,79,21,0,4000,1,165,74,54,33,6,23,0,False
Male,18,12,1,8,34,820,30,19,17,3,67,1,True
Female,52,22,0,17,2,385,66,83,33,6,25,0,False
Female,57,18,0,10000,0,430,71,40,31,7,42,0,False
Female,34,10,1,9,29,701,39,13,10,4,87,1,True
Female,59,18,0,3000,0,400,61,33,32,6,21,0,False
Male,8,10,1,14,25,935,51,9,18,2,89,1,True
Male,50,12,0,6,0,317,58,52,32,0,27,0,True
Female,62,15,1,4000,1,150,74,46,47,5,30,0,False
Male,33,5,1,37,9,915,33,26,11,3,64,1,True
Male,48,10,1,72,25,925,63,50,12,0,62,1,True
Male,36,6,1,13,34,725,36,22,15,2,65,1,True
Female,18,11,1,14,23,990,33,25,5,1,56,1,True
Male,50,24,0,4000,1,165,62,41,26,6,15,0,False
Female,52,16,1,4000,1,355,64,39,23,5,28,0,False
Male,65,18,0,74,34,720,73,46,6,2,57,1,True
Male,80,21,1,3000,0,260,74,48,46,6,21,0,False
Male,20,8,1,9,8,890,24,20,16,2,87,1,True
Female,95,16,0,3000,0,490,61,42,29,7,20,0,False
Male,32,14,1,13,16,695,42,26,12,2,69,1,True
Male,55,6,0,14,5,755,21,27,17,3,61,1,True
Female,20,10,1,4000,1,295,46,17,43,5,19,0,False
Female,71,16,0,3000,0,240,22,7,43,6,24,0,False
Male,76,15,0,68,25,725,66,59,14,1,53,1,True
Female,58,15,1,4000,0,485,64,38,31,5,28,0,False
Female,51,16,0,23,4,360,67,65,39,5,29,0,False
Male,87,18,1,3000,0,280,74,31,46,6,18,0,False
Female,50,19,1,2000,0,435,64,57,33,7,41,0,False
Female,53,16,0,2000,1,515,71,37,48,6,20,0,False
Male,7,14,1,10,7,965,38,24,5,3,83,1,True
Female,52,15,0,4000,0,445,64,32,21,6,17,0,False
Male,97,22,1,4000,1,270,74,34,33,7,43,0,False
Male,54,24,1,2000,0,170,69,44,36,5,24,0,False
Female,58,20,1,2000,0,310,63,42,36,5,26,0,False
Female,53,21,1,3000,0,185,63,48,44,5,28,0,False
Female,58,18,0,3001,0,300,66,43,28,3,37,1,True
Female,23,14,0,56,12,830,64,46,6,1,77,1,True
Female,56,24,0,13,5,332,68,50,40,7,10,1,True
Female,56,24,0,14000,0,395,63,50,41,5,21,0,False
Male,50,11,0,23,9,910,27,14,12,3,58,1,True
Male,44,12,0,72,23,860,73,32,9,0,68,1,True
Female,72,15,0,2000,1,370,72,33,32,5,22,0,False
Female,50,6,0,2000,0,515,43,14,22,6,44,0,False
Female,25,9,1,20,6,650,21,6,13,3,72,1,True
Female,94,18,0,3000,1,535,67,42,38,7,48,0,False
Female,44,9,1,34,5,790,24,6,14,2,63,1,True
Female,35,17,0,20,0,420,70,64,36,7,23,0,False
Male,77,23,1,4000,1,430,52,23,47,6,35,0,False
Male,78,23,1,92,13,845,67,36,5,1,63,1,True
Female,38,24,0,22,3,315,74,52,52,6,26,0,False
Female,50,14,0,13,32,885,45,15,14,3,61,1,True
Male,13,6,1,88,25,830,40,13,8,0,94,1,True
Male,16,9,1,55,20,915,43,25,7,0,99,1,True
Male,11,9,1,51,27,950,26,11,9,0,80,1,True
Male,58,14,0,14,9,785,33,25,15,3,84,1,True
Male,56,6,1,17,20,710,50,28,14,2,87,1,True
Male,42,7,1,73,10,705,65,32,18,0,83,1,True
Male,24,7,1,21,35,735,20,26,15,3,60,1,True
Male,54,7,1,54,34,995,60,50,18,2,68,1,True
Male,46,12,1,18,11,995,51,20,17,0,78,1,True
Female,55,22,0,17000,0,210,66,52,21,5,29,0,False
Male,50,12,1,12,15,880,54,15,19,0,82,1,True
Male,49,7,1,20,26,900,54,5,5,3,50,1,True
Male,23,7,1,65,32,800,36,16,8,1,82,1,True
Male,49,11,1,18,33,765,49,12,5,2,82,1,True
Male,56,5,1,91,35,810,63,34,15,0,55,1,True
Female,99,18,1,4000,0,390,46,24,23,7,12,0,False
Female,80,20,1,9001,0,481,72,51,29,6,16,1,True
Female,26,5,0,3000,1,170,34,28,34,7,11,0,False
Female,40,23,0,19,0,370,72,83,29,7,10,0,False
Male,50,15,1,2000,1,460,60,34,41,5,18,0,False
Female,52,17,0,3,4,310,72,56,40,7,17,0,False
Male,39,9,1,38,5,715,39,25,19,1,55,1,True
Female,53,21,0,23,4,305,66,67,30,7,29,0,False
Male,59,20,1,54,12,840,71,52,8,2,52,1,True
Female,24,5,1,16,19,675,46,14,9,0,56,1,True
Female,78,21,1,2000,1,260,72,32,21,6,29,0,False
Female,97,15,1,2000,0,500,74,51,36,7,29,0,False
Female,49,21,0,18,2,475,65,64,28,5,26,0,False
Male,27,9,0,24,6,865,21,21,12,0,55,1,True
Female,42,20,0,18,4,435,72,66,30,7,11,0,False
Female,64,17,1,4000,0,500,71,30,43,6,22,0,False
Female,67,23,0,3000,1,510,60,55,48,5,30,0,False
Female,42,16,0,5,3,435,67,55,42,6,21,0,False
Male,22,9,1,8,32,655,44,27,13,3,82,1,True
Male,23,14,1,21,12,800,49,17,6,3,61,1,True
Female,41,19,0,11,2,460,65,68,46,7,15,0,False
Female,54,22,0,3000,0,175,63,36,34,7,17,0,False
Male,9,10,1,28,24,845,35,27,8,3,61,1,True
Female,52,24,1,3000,1,525,66,58,20,7,11,0,False
Male,44,7,1,8,12,775,22,19,11,1,89,1,True
Female,44,16,0,13,1,320,67,71,35,7,22,0,False
Male,36,16,0,13,32,900,57,29,12,0,62,1,False
Female,39,17,0,4,4,310,70,69,34,5,22,0,False
Male,10,6,0,38,34,860,35,23,8,0,86,1,True
Male,54,12,0,9,35,775,44,10,14,2,86,1,True
Male,53,21,0,22000,0,205,66,30,27,7,41,0,False
Female,24,6,0,4000,0,470,44,15,32,6,11,0,False
Female,51,24,0,2,1,335,73,53,53,6,19,0,False
Female,7,5,0,51,38,900,36,12,13,4,90,1,False
Female,59,16,1,3000,1,455,69,33,48,7,36,0,False
Male,23,9,1,75,25,800,34,28,7,1,91,1,True
Female,47,21,0,5,1,485,73,68,36,7,19,0,False
Male,34,14,1,9,28,860,27,11,15,1,50,1,True
Male,46,12,1,42,6,815,42,7,6,0,64,1,True
Female,65,21,0,3000,1,365,72,34,39,5,17,0,False
Male,40,6,1,15,15,735,49,19,10,3,85,1,True
Female,58,21,0,2000,0,140,72,36,36,5,22,0,False
Female,59,23,0,72,6,945,71,41,14,2,61,1,True
Female,77,15,0,3000,0,365,65,49,25,5,46,0,False
Male,36,7,1,8,14,725,24,27,13,2,61,1,True
Male,79,23,1,3000,0,155,62,37,33,5,17,0,False
Female,52,17,0,4000,0,175,50,15,31,6,42,0,False
Male,41,10,1,22,29,715,49,10,16,0,67,1,True
Male,12,8,1,59,36,995,32,9,9,0,92,1,True
Male,7,5,1,81,17,900,28,24,5,0,85,1,False
Male,85,22,0,3000,1,430,63,54,25,7,22,0,False
Female,43,23,0,11,2,350,74,61,49,5,14,0,False
Male,89,24,1,16000,0,100,64,44,44,5,19,0,False
Male,45,14,1,72,11,985,65,52,19,3,61,1,True
Female,51,21,0,5000,1,280,67,56,45,6,44,0,False
Male,20,9,1,58,38,970,22,5,5,1,85,1,True
Male,69,19,1,89,19,790,65,31,18,2,60,1,True
Male,29,9,1,17,8,950,34,6,16,0,50,1,True
Male,94,21,1,3000,1,210,46,20,48,5,48,0,False
Female,42,21,0,16,2,370,66,63,40,7,22,0,False
Male,88,21,1,4000,1,390,64,34,24,7,35,0,False
Male,79,23,1,3000,1,525,62,32,34,7,40,0,False
Female,67,23,0,3000,1,510,72,55,30,7,11,0,False
Male,52,5,1,21,21,760,54,29,17,1,88,1,True
Female,53,22,0,4000,1,325,68,59,42,5,47,0,False
Female,80,21,1,4000,0,235,71,38,31,7,47,0,False
Male,16,5,1,98,25,895,39,13,5,1,96,1,True
Male,25,9,1,49,20,740,28,26,14,1,79,1,True
Male,27,7,0,9,6,680,38,9,16,3,62,1,True
Female,54,20,0,15,3,465,66,55,31,7,12,0,False
Male,46,10,0,17,16,720,37,11,13,2,56,1,True
Female,63,17,1,4000,0,190,71,38,28,5,27,0,False
Male,20,5,1,74,11,865,41,5,8,1,85,1,True
Male,33,9,1,8,33,655,53,6,5,2,74,1,True
Female,54,20,1,2000,1,335,65,52,38,6,43,0,False
Male,36,12,0,43,11,950,34,28,5,1,81,1,True
Female,95,22,0,4000,1,230,61,31,29,5,47,0,False
Male,30,14,0,20,29,965,20,15,5,1,77,1,True
Male,23,6,1,56,32,950,23,13,8,1,82,1,True
Female,54,21,1,3000,0,230,61,56,40,5,21,0,False
Male,49,7,0,96,37,920,71,33,16,2,64,1,True
Male,18,6,1,90,34,980,47,8,7,0,87,1,True
Female,74,20,1,3000,0,105,70,50,26,6,24,0,False
Male,90,15,0,4000,0,155,67,52,42,6,35,0,False
Female,7,8,1,3000,0,440,29,23,44,5,39,0,False
Female,40,23,0,12,4,325,69,61,53,6,20,0,False
Male,71,19,1,61,12,710,60,40,11,0,76,1,True
Male,7,11,0,82,28,870,63,57,11,0,68,1,True
Female,36,22,0,22,1,490,71,61,40,5,11,0,False
Female,46,15,0,11,4,455,68,76,50,5,10,0,False
Male,23,8,1,91,39,890,36,19,8,1,81,1,True
Female,29,13,1,15,5,780,30,29,17,3,57,1,True
Female,17,12,1,17,19,660,21,15,14,2,83,1,True
Female,8,13,0,49,28,855,26,8,16,0,72,1,True
Male,21,14,1,29,19,708,20,0,5,7,89,0,False
Male,52,23,0,91,31,925,62,52,14,3,51,1,True
Male,45,12,1,31,31,950,49,23,16,2,79,1,True
Male,51,20,0,6000,0,265,60,36,22,6,44,0,False
Male,14,10,1,23,12,655,39,16,19,2,52,1,True
Female,55,23,1,65,23,770,63,33,19,1,79,1,True
Male,14,7,1,21,29,900,53,5,7,3,61,1,True
Female,64,23,0,2000,1,345,73,33,44,5,29,0,False
Male,73,22,1,73,30,830,67,33,10,3,59,1,True
Female,83,22,0,4000,0,545,61,36,26,5,36,0,False
Male,26,6,1,43,31,830,53,6,6,2,71,1,True
Male,31,5,1,18,30,715,42,14,16,0,56,1,True
Male,65,22,1,88,22,885,64,52,8,2,74,1,True
Male,36,12,1,10,34,830,50,7,8,1,76,1,True
Male,87,18,1,2000,1,430,66,53,21,6,27,0,False
Female,55,16,0,4000,1,485,61,49,42,5,34,0,False
Female,50,17,0,20,3,370,72,72,27,7,16,0,False
Female,44,13,0,39,5,940,24,23,15,3,58,1,True
Female,60,15,0,3000,1,325,66,53,36,6,18,0,False
Female,21,8,1,15,26,700,26,12,5,3,72,1,True
Female,38,17,0,4,4,415,73,50,30,6,21,0,False
Female,54,17,1,72,7,820,60,45,13,0,56,1,True
Male,97,19,0,4000,0,375,65,39,29,6,19,0,False
Male,59,16,1,2000,0,135,61,46,39,5,49,0,False
Female,52,24,0,15,2,310,68,81,39,7,19,0,False
Female,11,14,1,77,9,995,62,52,16,1,56,1,True
Male,10,13,1,36,27,995,33,9,8,1,82,1,True
Male,16,8,1,56,12,860,21,6,9,0,92,1,True
Male,16,6,1,55,39,845,27,2,6,0,86,1,True
Female,96,17,0,2000,0,455,72,41,23,6,22,0,False
Female,75,22,0,3000,0,270,63,49,22,7,20,0,False
Male,9,10,1,24,25,815,53,23,19,3,60,1,True
Female,64,16,0,2000,1,355,46,7,33,6,32,0,False
Male,44,10,0,21,29,785,23,12,14,3,85,1,True
Male,47,7,1,26,26,990,20,19,16,3,50,1,True
Female,98,18,0,2000,0,375,70,52,29,5,35,0,False
Male,13,7,1,79,23,990,32,14,6,1,85,1,True
Male,35,18,0,18,30,654,49,22,5,6,62,1,True
Female,74,24,1,2000,0,410,63,33,40,7,28,0,False
Male,30,14,0,51,12,710,64,43,7,1,58,1,True
Female,57,20,0,3000,0,285,68,58,40,6,47,0,False
Male,19,6,1,63,13,960,21,22,5,1,96,1,True
Male,34,8,0,8,11,900,41,27,5,0,74,1,True
Female,15,12,1,9,25,780,42,20,16,0,75,1,True
Female,90,19,0,20000,1,470,73,55,30,5,40,0,False
Male,73,21,0,4000,1,430,67,43,32,5,26,0,False
Male,41,8,1,7,28,835,29,25,13,3,82,1,True
Female,50,15,1,3000,0,325,62,30,26,6,11,0,False
Male,88,20,1,2000,1,520,72,43,40,5,10,0,False
Female,82,18,0,3000,1,425,61,45,42,6,27,0,False
Female,99,24,1,3000,1,315,73,34,21,7,15,0,False
Male,25,9,1,11,28,830,49,9,19,1,79,1,True
Female,47,15,0,11,2,420,67,81,50,6,15,0,False
Male,13,13,1,6,25,725,20,25,8,1,82,1,True
Female,52,15,1,10000,0,465,64,34,23,5,23,0,False
Male,9,11,1,18,11,940,36,26,9,3,81,1,True
Male,47,8,1,16,18,815,29,29,16,2,71,1,True
Male,79,17,0,2000,0,295,66,46,42,5,29,0,False
Female,49,5,0,7,30,690,20,28,6,1,69,1,True
Male,38,8,1,69,24,790,64,44,12,1,89,1,True
Male,16,6,1,80,17,885,46,1,6,0,84,1,True
Female,95,15,0,2000,0,435,74,30,39,5,11,0,False
Male,56,9,1,16,26,795,34,8,9,3,62,1,True
Female,36,20,0,13,0,325,68,63,52,6,20,0,False
Male,29,10,0,8,26,695,22,5,8,0,58,1,True
Female,60,18,1,8,0,491,59,70,39,5,33,0,False
Male,50,6,0,39,32,765,46,13,10,3,60,1,True
Male,17,5,1,90,36,875,22,6,9,0,89,1,True
Male,65,24,0,3000,1,435,61,41,39,7,20,0,False
Male,56,13,0,17,25,850,22,8,5,1,61,1,True
Male,50,7,1,8,21,690,36,26,15,1,50,1,True
Female,42,22,0,11,2,485,73,66,52,6,14,0,False
Female,89,23,0,5000,0,370,67,37,26,6,29,0,False
Female,69,19,0,21000,1,135,62,54,30,5,40,0,False
Male,11,6,1,85,29,850,42,16,8,0,88,1,True
Male,49,7,1,28,6,770,48,24,19,3,72,1,True
Female,50,23,0,20000,1,305,60,47,46,6,32,0,False
Female,50,19,0,19000,0,450,64,42,41,7,32,0,False
Male,10,8,1,66,31,980,39,13,9,0,86,1,True
Female,84,23,1,2000,0,330,38,8,33,5,10,0,False
Male,10,12,1,13,30,815,30,9,11,0,50,1,True
Male,56,10,1,42,14,785,28,6,10,1,58,1,True
Female,42,10,0,34,21,820,28,10,9,0,77,1,True
Male,47,9,0,91,5,805,66,58,13,1,58,1,True
Male,76,17,0,62,29,650,65,58,8,1,86,1,True
Male,24,6,1,67,16,815,30,1,6,1,93,1,True
Male,70,17,1,4000,1,355,23,22,24,7,45,0,False
Male,8,14,1,88,33,755,72,45,12,3,58,1,True
Female,26,11,1,99,21,874,47,19,5,0,97,1,False
Male,16,6,1,57,32,825,33,18,5,1,87,1,True
Male,27,10,1,41,11,995,25,11,7,3,52,1,True
Female,55,12,0,85,18,760,63,53,7,1,64,1,True
Male,17,6,1,50,11,685,65,42,9,2,69,1,True
Female,11,6,1,7,19,970,47,18,19,1,67,1,True
Male,12,14,0,29,26,845,50,10,17,1,73,1,True
Female,57,19,1,2000,1,415,67,39,24,6,36,0,False
Female,76,23,0,3000,1,250,66,36,27,7,41,0,False
Male,90,19,0,8000,0,105,68,51,46,5,41,0,False
Female,55,17,0,2000,1,295,62,43,23,5,44,0,False
Female,95,19,1,18000,1,290,71,41,38,7,34,0,False
Female,65,22,1,88,36,920,71,38,17,2,69,1,True
Male,68,15,0,3000,0,270,65,48,27,7,23,0,False
Female,53,16,0,3000,1,490,34,12,23,5,31,0,False
Male,19,5,1,87,35,820,40,12,5,0,92,1,True
Female,38,19,0,15,0,490,66,59,25,7,22,0,False
Male,23,9,1,64,19,820,27,29,5,1,80,1,True
Female,65,18,1,54,28,970,68,41,7,3,53,1,True
Male,66,18,0,10000,1,155,60,38,46,6,13,0,False
Male,75,20,1,62,26,750,71,52,14,2,52,1,True
Female,51,22,0,4000,1,500,69,31,49,7,36,0,False
Male,13,12,0,14,12,735,28,19,9,3,55,1,True
Female,7,14,1,84,5,720,71,38,11,3,68,1,True
Female,59,8,0,3000,0,440,34,11,23,6,28,0,False
Female,71,18,1,5000,1,190,66,38,36,6,42,0,False
Female,90,22,0,7000,0,510,72,53,38,6,36,0,False
Female,47,24,0,5,3,345,72,79,28,6,27,0,False
Male,34,7,1,16,26,660,27,26,13,1,58,1,True
Female,18,7,0,3000,0,430,29,17,26,6,11,0,False
Female,59,17,0,6000,0,130,71,36,48,5,39,0,False
Male,15,7,1,97,33,855,44,9,6,0,85,1,True
Female,18,7,0,2000,1,110,26,8,30,5,41,0,False
Male,68,19,1,12000,1,180,63,32,32,7,49,0,False
Female,73,17,0,17000,0,240,69,48,49,6,23,0,False
Female,29,7,0,32,35,680,27,20,5,2,84,1,True
Female,77,24,1,3000,1,355,70,53,40,6,30,0,False
Male,18,5,1,83,23,975,41,28,9,1,98,1,True
Male,56,19,1,15000,1,145,69,44,35,7,28,0,False
Female,33,14,1,4000,0,505,47,12,36,6,22,0,False
Male,52,7,1,12,19,895,34,27,6,0,75,1,True
Female,68,24,0,2993,1,300,66,34,27,0,41,1,False
Female,96,16,1,3000,0,215,64,52,23,6,20,0,False
Female,33,14,0,2000,0,165,53,20,43,7,41,0,False
Female,40,14,1,3000,0,360,52,13,36,6,25,0,False
Male,18,13,0,8,12,760,48,15,13,0,70,1,True
Female,76,18,1,18000,1,325,60,52,48,6,46,0,False
Female,43,21,0,4,4,485,71,78,44,7,12,0,False
Male,24,7,1,89,20,875,43,18,8,1,89,1,True
Male,91,20,0,4000,1,225,65,41,20,5,22,0,False
Male,8,5,1,22,34,765,37,22,12,2,65,1,True
Female,78,18,0,2000,0,100,46,12,42,6,15,0,False
Female,41,20,0,21,3,325,70,53,30,7,10,0,False
Female,49,24,0,3006,3,300,55,43,33,1,22,1,True
Male,13,7,1,73,26,905,21,0,8,1,92,1,True
Female,66,22,0,4000,0,450,73,39,48,6,32,0,False
Male,14,7,1,56,34,960,46,26,6,0,80,1,True
Male,15,6,1,74,38,940,28,16,6,0,99,1,True
Male,67,16,1,62,22,840,67,56,11,2,77,1,True
Male,36,11,1,6,22,800,54,11,13,3,58,1,True
Female,36,18,0,9,1,420,66,82,34,7,17,0,False
Female,98,18,1,4000,0,220,63,31,31,6,41,0,False
Female,35,20,0,15,0,310,70,80,54,6,11,0,False
Female,39,19,0,18,4,325,67,51,51,6,13,0,False
Male,29,8,1,23,19,935,24,24,15,3,78,1,True
Male,22,13,0,18,35,925,46,20,15,3,84,1,True
Male,79,24,0,4000,0,120,72,59,45,5,45,0,False
Male,21,6,1,78,39,815,43,23,5,1,85,1,True
Male,33,12,1,7,31,985,44,29,16,1,56,1,True
Male,21,6,1,76,24,855,20,3,5,1,85,1,True
Male,73,16,0,15000,0,265,60,32,36,6,32,0,False
Male,15,7,1,65,17,980,40,15,6,0,90,1,True
Female,85,20,1,4000,1,145,47,21,20,6,30,0,False
Male,64,22,0,2000,1,355,66,52,27,7,31,0,False
Female,49,11,0,88,32,960,61,36,19,1,60,1,True
Male,14,12,1,40,24,995,40,17,16,0,72,1,True
Male,18,8,1,59,28,920,36,18,6,1,89,1,True
Female,95,22,0,4000,0,310,25,14,30,6,35,0,False
Male,82,24,0,2000,1,530,62,59,26,6,24,0,False
Female,72,22,1,4000,1,105,49,18,47,5,29,0,False
Female,81,21,1,2000,1,300,71,36,29,5,28,0,False
Female,99,18,0,10000,0,345,66,42,22,6,13,0,False
Female,58,23,0,2000,1,535,66,52,23,6,41,0,False
Female,77,24,0,24000,1,500,73,31,33,6,49,0,False
Female,52,23,0,20,3,345,69,53,36,7,14,0,False
Male,15,8,1,94,14,925,37,11,6,1,80,1,True
Female,35,19,0,6,1,450,70,82,34,6,10,0,False
Female,56,21,0,15000,0,515,69,58,33,5,38,0,False
Male,91,16,1,2996,0,352,66,43,49,7,28,0,True
Female,43,15,0,24,1,465,72,75,53,5,25,0,False
Male,81,18,0,2000,0,470,66,34,32,6,19,0,False
Male,18,5,1,84,18,950,42,12,7,0,95,1,True
Male,33,13,1,19,18,845,53,24,17,3,81,1,True
Female,75,23,0,19000,0,505,69,59,34,6,41,0,False
Female,67,19,0,2000,0,215,45,8,43,6,46,0,False
Female,78,16,0,4000,0,265,60,41,39,6,11,0,False
Female,69,23,0,13000,1,395,64,45,43,7,42,0,False
Female,61,16,0,3000,0,265,30,16,40,6,14,0,False
Female,97,24,0,4000,1,330,71,47,20,5,33,0,False
Female,95,20,1,3000,1,480,63,54,34,7,13,0,False
Female,9,7,1,2000,1,395,45,18,23,5,26,0,False
Female,41,22,0,24,4,305,68,52,50,7,18,0,False
Female,81,24,1,3000,1,185,70,55,23,5,28,0,False
Male,10,5,0,7,12,930,23,9,6,0,56,1,True
Male,40,18,0,17,0,300,74,55,47,7,10,1,True
Male,16,8,1,93,11,840,45,6,7,1,97,1,True
Male,23,6,1,98,37,815,35,23,5,0,93,1,True
Male,45,12,1,54,32,955,70,48,10,1,76,1,True
Male,58,7,1,82,15,945,69,35,9,1,80,1,True
Male,53,10,1,23,14,675,46,10,5,2,80,1,True
Male,15,6,1,54,34,860,21,2,5,0,96,1,True
Female,35,17,0,8,2,445,72,83,28,6,29,0,False
Female,35,17,0,23,2,420,73,71,36,5,26,0,False
